ParticipantID,Condition,Trial,Image,CorrectEmotion,Response,Accuracy,RT
AG,neutral,1,FACES\066_y_m_f_a.jpg,fear,happiness,0,6.246153599815443
AG,neutral,2,FACES\066_y_m_a_b.jpg,anger,anger,1,1.418499100022018
AG,neutral,3,FACES\140_y_f_s_b.jpg,sadness,disgust,0,4.451567400014028
AG,neutral,4,FACES\066_y_m_n_a.jpg,neutrality,neutrality,1,1.4014405999332666
AG,neutral,5,FACES\079_o_f_f_b.jpg,fear,anger,0,11.238718200009316
AG,neutral,6,FACES\079_o_f_d_b.jpg,disgust,happiness,0,3.8326471999753267
AG,neutral,7,FACES\079_o_f_a_b.jpg,anger,disgust,0,12.416976399952546
AG,neutral,8,FACES\066_y_m_h_b.jpg,happiness,happiness,1,10.556906200014055
AG,neutral,9,FACES\116_m_m_f_b.jpg,fear,fear,1,4.31619910011068
AG,neutral,10,FACES\116_m_m_f_a.jpg,fear,anger,0,4.177145800087601
AG,neutral,11,FACES\168_m_f_s_b.jpg,sadness,sadness,1,5.7720953999087214
AG,neutral,12,FACES\168_m_f_a_a.jpg,anger,anger,1,1.606500199995935
AG,neutral,13,FACES\116_m_m_d_a.jpg,disgust,disgust,1,2.9845400999765843
AG,neutral,14,FACES\004_o_m_n_b.jpg,neutrality,neutrality,1,4.6107970001176
AG,neutral,15,FACES\004_o_m_s_b.jpg,sadness,disgust,0,2.2585274998564273
AG,neutral,16,FACES\168_m_f_f_a.jpg,fear,anger,0,3.304778999881819
AG,neutral,17,FACES\116_m_m_s_b.jpg,sadness,neutrality,0,3.8607866999227554
AG,neutral,18,FACES\079_o_f_d_a.jpg,disgust,sadness,0,3.3535420999396592
AG,neutral,19,FACES\116_m_m_h_b.jpg,happiness,happiness,1,5.735156500013545
AG,neutral,20,FACES\079_o_f_n_a.jpg,neutrality,neutrality,1,5.9751148000359535
