ParticipantID,Condition,Trial,Image,CorrectEmotion,Response,Accuracy,RT
AH,vanilla,1,FACES\116_m_m_f_b.jpg,fear,fear,1,12.54727019998245
AH,vanilla,2,FACES\168_m_f_d_b.jpg,disgust,disgust,1,3.5226930000353605
AH,vanilla,3,FACES\066_y_m_d_b.jpg,disgust,disgust,1,4.4873312001582235
AH,vanilla,4,FACES\168_m_f_h_a.jpg,happiness,happiness,1,4.5537949001882225
AH,vanilla,5,FACES\079_o_f_h_a.jpg,happiness,happiness,1,3.545456599909812
AH,vanilla,6,FACES\066_y_m_f_a.jpg,fear,fear,1,5.868163999868557
AH,vanilla,7,FACES\079_o_f_d_a.jpg,disgust,disgust,1,3.600957800168544
AH,vanilla,8,FACES\066_y_m_a_a.jpg,anger,anger,1,3.275443800026551
AH,vanilla,9,FACES\140_y_f_n_a.jpg,neutrality,neutrality,1,2.3527128999121487
AH,vanilla,10,FACES\004_o_m_a_b.jpg,anger,anger,1,2.36293699988164
AH,vanilla,11,FACES\004_o_m_h_a.jpg,happiness,happiness,1,2.9547045999206603
AH,vanilla,12,FACES\168_m_f_s_a.jpg,sadness,sadness,1,6.288098699878901
AH,vanilla,13,FACES\140_y_f_a_b.jpg,anger,anger,1,5.022954200161621
AH,vanilla,14,FACES\140_y_f_a_a.jpg,anger,anger,1,10.02125810016878
AH,vanilla,15,FACES\140_y_f_h_a.jpg,happiness,happiness,1,7.674869399983436
AH,vanilla,16,FACES\004_o_m_d_a.jpg,disgust,anger,0,7.606639200123027
AH,vanilla,17,FACES\079_o_f_f_b.jpg,fear,fear,1,3.0071086001116782
AH,vanilla,18,FACES\168_m_f_f_b.jpg,fear,fear,1,9.255064100027084
AH,vanilla,19,FACES\116_m_m_n_a.jpg,neutrality,neutrality,1,2.9920787001028657
AH,vanilla,20,FACES\066_y_m_s_b.jpg,sadness,sadness,1,9.310959599912167
