ParticipantID,Condition,Trial,Image,CorrectEmotion,Response,Accuracy,RT
CR,vanilla,1,FACES\004_o_m_n_b.jpg,neutrality,neutrality,1,18.891621599905193
CR,vanilla,2,FACES\066_y_m_f_a.jpg,fear,fear,1,8.281259599840268
CR,vanilla,3,FACES\140_y_f_h_b.jpg,happiness,happiness,1,4.030967800179496
CR,vanilla,4,FACES\079_o_f_d_a.jpg,disgust,disgust,1,7.809933800017461
CR,vanilla,5,FACES\004_o_m_a_a.jpg,anger,anger,1,4.950060799950734
CR,vanilla,6,FACES\079_o_f_a_b.jpg,anger,anger,1,19.93568250001408
CR,vanilla,7,FACES\168_m_f_n_b.jpg,neutrality,neutrality,1,8.943872600095347
CR,vanilla,8,FACES\004_o_m_s_a.jpg,sadness,disgust,0,2.8108874999452382
CR,vanilla,9,FACES\116_m_m_f_b.jpg,fear,fear,1,3.1396115999668837
CR,vanilla,10,FACES\140_y_f_s_a.jpg,sadness,sadness,1,5.451833999948576
CR,vanilla,11,FACES\168_m_f_f_a.jpg,fear,fear,1,5.903639300027862
CR,vanilla,12,FACES\116_m_m_s_b.jpg,sadness,sadness,1,5.5150658001657575
CR,vanilla,13,FACES\116_m_m_d_b.jpg,disgust,anger,0,2.4783093999139965
CR,vanilla,14,FACES\004_o_m_h_a.jpg,happiness,happiness,1,2.0499406999442726
CR,vanilla,15,FACES\079_o_f_d_b.jpg,disgust,anger,0,2.1709751000162214
CR,vanilla,16,FACES\116_m_m_a_a.jpg,anger,anger,1,3.88356600003317
CR,vanilla,17,FACES\140_y_f_h_a.jpg,happiness,happiness,1,1.5313314001541585
CR,vanilla,18,FACES\079_o_f_s_a.jpg,sadness,disgust,0,5.995533599983901
CR,vanilla,19,FACES\140_y_f_f_a.jpg,fear,fear,1,3.8619605998974293
CR,vanilla,20,FACES\079_o_f_n_a.jpg,neutrality,neutrality,1,3.517496000044048
