ParticipantID,Condition,Trial,Image,CorrectEmotion,Response,Accuracy,RT
DAP,neutral,1,FACES\079_o_f_s_b.jpg,sadness,disgust,0,6.52916739997454
DAP,neutral,2,FACES\066_y_m_f_b.jpg,fear,fear,1,10.943735799985006
DAP,neutral,3,FACES\066_y_m_a_b.jpg,anger,anger,1,1.886194400023669
DAP,neutral,4,FACES\168_m_f_n_a.jpg,neutrality,sadness,0,3.9930151998996735
DAP,neutral,5,FACES\079_o_f_d_a.jpg,disgust,disgust,1,6.8620443001855165
DAP,neutral,6,FACES\168_m_f_d_a.jpg,disgust,anger,0,12.107150899944827
DAP,neutral,7,FACES\140_y_f_s_a.jpg,sadness,disgust,0,5.593263300135732
DAP,neutral,8,FACES\066_y_m_d_a.jpg,disgust,disgust,1,5.775779099902138
DAP,neutral,9,FACES\116_m_m_s_a.jpg,sadness,sadness,1,4.521413200069219
DAP,neutral,10,FACES\140_y_f_s_b.jpg,sadness,sadness,1,2.1303872999269515
DAP,neutral,11,FACES\066_y_m_s_a.jpg,sadness,happiness,0,5.415650999872014
DAP,neutral,12,FACES\004_o_m_h_a.jpg,happiness,happiness,1,12.280180899892002
DAP,neutral,13,FACES\004_o_m_f_b.jpg,fear,fear,1,2.710544800153002
DAP,neutral,14,FACES\168_m_f_a_a.jpg,anger,disgust,0,7.396951199974865
DAP,neutral,15,FACES\168_m_f_f_a.jpg,fear,fear,1,5.789410199970007
DAP,neutral,16,FACES\168_m_f_h_b.jpg,happiness,happiness,1,3.4851396000012755
DAP,neutral,17,FACES\116_m_m_f_a.jpg,fear,fear,1,2.4463080000132322
DAP,neutral,18,FACES\168_m_f_s_b.jpg,sadness,sadness,1,2.3273992999456823
DAP,neutral,19,FACES\079_o_f_h_a.jpg,happiness,happiness,1,1.9531864998862147
DAP,neutral,20,FACES\066_y_m_d_b.jpg,disgust,neutrality,0,5.1220937999896705
