ParticipantID,Condition,Trial,Image,CorrectEmotion,Response,Accuracy,RT
EB,neutral,1,FACES\066_y_m_d_b.jpg,disgust,disgust,1,21.497800499899313
EB,neutral,2,FACES\004_o_m_h_b.jpg,happiness,happiness,1,3.843618900049478
EB,neutral,3,FACES\116_m_m_d_a.jpg,disgust,sadness,0,8.97502960008569
EB,neutral,4,FACES\004_o_m_f_b.jpg,fear,fear,1,2.923071699915454
EB,neutral,5,FACES\079_o_f_h_b.jpg,happiness,happiness,1,2.732936300104484
EB,neutral,6,FACES\140_y_f_d_a.jpg,disgust,sadness,0,6.541347699938342
EB,neutral,7,FACES\066_y_m_d_a.jpg,disgust,disgust,1,8.640439199982211
EB,neutral,8,FACES\116_m_m_a_a.jpg,anger,fear,0,6.096629200037569
EB,neutral,9,FACES\079_o_f_d_b.jpg,disgust,anger,0,10.25407369993627
EB,neutral,10,FACES\066_y_m_a_a.jpg,anger,anger,1,3.6283847999293357
EB,neutral,11,FACES\168_m_f_f_b.jpg,fear,fear,1,2.7335962001234293
EB,neutral,12,FACES\116_m_m_a_b.jpg,anger,anger,1,3.91529139992781
EB,neutral,13,FACES\168_m_f_f_a.jpg,fear,fear,1,1.7075635001529008
EB,neutral,14,FACES\140_y_f_f_a.jpg,fear,fear,1,5.054104500217363
EB,neutral,15,FACES\140_y_f_h_b.jpg,happiness,happiness,1,6.975822400068864
EB,neutral,16,FACES\066_y_m_s_a.jpg,sadness,sadness,1,4.559188799932599
EB,neutral,17,FACES\004_o_m_n_a.jpg,neutrality,disgust,0,4.665312999859452
EB,neutral,18,FACES\116_m_m_h_b.jpg,happiness,happiness,1,3.553503200178966
EB,neutral,19,FACES\168_m_f_h_a.jpg,happiness,happiness,1,3.3397642001509666
EB,neutral,20,FACES\079_o_f_f_b.jpg,fear,fear,1,4.3842443998437375
