ParticipantID,Condition,Trial,Image,CorrectEmotion,Response,Accuracy,RT
MS,vanilla,1,FACES\168_m_f_f_b.jpg,fear,fear,1,10.117603200022131
MS,vanilla,2,FACES\168_m_f_d_a.jpg,disgust,disgust,1,4.177778099896386
MS,vanilla,3,FACES\116_m_m_f_a.jpg,fear,fear,1,8.113841899903491
MS,vanilla,4,FACES\140_y_f_h_a.jpg,happiness,happiness,1,3.994102699914947
MS,vanilla,5,FACES\066_y_m_s_a.jpg,sadness,sadness,1,4.370238400064409
MS,vanilla,6,FACES\168_m_f_f_a.jpg,fear,fear,1,2.3427283000200987
MS,vanilla,7,FACES\004_o_m_f_b.jpg,fear,fear,1,2.8055509000550956
MS,vanilla,8,FACES\079_o_f_h_b.jpg,happiness,happiness,1,2.2838268999475986
MS,vanilla,9,FACES\066_y_m_d_b.jpg,disgust,disgust,1,1.9711566001642495
MS,vanilla,10,FACES\168_m_f_d_b.jpg,disgust,disgust,1,1.5602061001118273
MS,vanilla,11,FACES\066_y_m_a_b.jpg,anger,anger,1,3.0262523000128567
MS,vanilla,12,FACES\004_o_m_n_a.jpg,neutrality,neutrality,1,2.6236458998173475
MS,vanilla,13,FACES\004_o_m_f_a.jpg,fear,fear,1,4.906272900057957
MS,vanilla,14,FACES\116_m_m_d_a.jpg,disgust,disgust,1,5.665746400132775
MS,vanilla,15,FACES\140_y_f_h_b.jpg,happiness,happiness,1,1.560756399994716
MS,vanilla,16,FACES\004_o_m_s_a.jpg,sadness,disgust,0,3.959760900121182
MS,vanilla,17,FACES\116_m_m_n_b.jpg,neutrality,neutrality,1,2.5376045000739396
MS,vanilla,18,FACES\140_y_f_a_a.jpg,anger,anger,1,3.4423801999073476
MS,vanilla,19,FACES\079_o_f_a_a.jpg,anger,disgust,0,25.116086400114
MS,vanilla,20,FACES\168_m_f_s_a.jpg,sadness,sadness,1,8.148294199956581
