ParticipantID,Condition,Trial,Image,CorrectEmotion,Response,Accuracy,RT
VMSF,neutral,1,FACES\116_m_m_d_b.jpg,disgust,disgust,1,21.79190730000846
VMSF,neutral,2,FACES\168_m_f_s_b.jpg,sadness,sadness,1,6.3559779999777675
VMSF,neutral,3,FACES\066_y_m_n_b.jpg,neutrality,neutrality,1,9.9368241999764
VMSF,neutral,4,FACES\079_o_f_d_a.jpg,disgust,disgust,1,9.586539200041443
VMSF,neutral,5,FACES\066_y_m_h_a.jpg,happiness,happiness,1,3.219594100024551
VMSF,neutral,6,FACES\168_m_f_h_b.jpg,happiness,happiness,1,11.116672899806872
VMSF,neutral,7,FACES\116_m_m_s_a.jpg,sadness,sadness,1,6.684991100104526
VMSF,neutral,8,FACES\140_y_f_h_a.jpg,happiness,happiness,1,3.6299787000752985
VMSF,neutral,9,FACES\140_y_f_d_a.jpg,disgust,disgust,1,5.47721099993214
VMSF,neutral,10,FACES\004_o_m_s_b.jpg,sadness,sadness,1,5.301085300045088
VMSF,neutral,11,FACES\004_o_m_n_a.jpg,neutrality,neutrality,1,4.511197399813682
VMSF,neutral,12,FACES\079_o_f_s_a.jpg,sadness,sadness,1,16.20464830007404
VMSF,neutral,13,FACES\079_o_f_a_a.jpg,anger,anger,1,3.615564800100401
VMSF,neutral,14,FACES\079_o_f_f_a.jpg,fear,fear,1,4.697849200107157
VMSF,neutral,15,FACES\079_o_f_s_b.jpg,sadness,anger,0,21.138436400098726
VMSF,neutral,16,FACES\116_m_m_d_a.jpg,disgust,fear,0,6.3670310999732465
VMSF,neutral,17,FACES\004_o_m_h_a.jpg,happiness,happiness,1,2.143160399980843
VMSF,neutral,18,FACES\168_m_f_f_a.jpg,fear,fear,1,13.034126700134948
VMSF,neutral,19,FACES\079_o_f_h_a.jpg,happiness,happiness,1,12.049573600059375
VMSF,neutral,20,FACES\140_y_f_s_a.jpg,sadness,sadness,1,3.1910481001250446
