Trial,KeyPressed,TimeStamp,RT
1,1,2025-12-04T18:47:54.949741,6.246153599815443
2,1,2025-12-04T18:47:56.973330,1.418499100022018
3,4,2025-12-04T18:48:02.022503,4.451567400014028
4,1,2025-12-04T18:48:04.021903,1.4014405999332666
5,1,2025-12-04T18:48:15.875658,11.238718200009316
6,3,2025-12-04T18:48:20.336386,3.8326471999753267
7,2,2025-12-04T18:48:33.370034,12.416976399952546
8,2,2025-12-04T18:48:44.543457,10.556906200014055
9,2,2025-12-04T18:48:49.451495,4.31619910011068
10,2,2025-12-04T18:48:54.211566,4.177145800087601
11,4,2025-12-04T18:49:00.573624,5.7720953999087214
12,3,2025-12-04T18:49:02.773628,1.606500199995935
13,1,2025-12-04T18:49:06.352132,2.9845400999765843
14,3,2025-12-04T18:49:11.611072,4.6107970001176
15,3,2025-12-04T18:49:14.509741,2.2585274998564273
16,4,2025-12-04T18:49:18.404198,3.304778999881819
17,4,2025-12-04T18:49:22.893633,3.8607866999227554
18,1,2025-12-04T18:49:26.871550,3.3535420999396592
19,4,2025-12-04T18:49:33.234642,5.735156500013545
20,2,2025-12-04T18:49:39.841074,5.9751148000359535
