Trial,KeyPressed,TimeStamp,RT
1,4,2025-12-04T19:38:45.855714,12.54727019998245
2,3,2025-12-04T19:38:50.013264,3.5226930000353605
3,1,2025-12-04T19:38:55.094794,4.4873312001582235
4,4,2025-12-04T19:39:00.260536,4.5537949001882225
5,1,2025-12-04T19:39:04.402670,3.545456599909812
6,3,2025-12-04T19:39:10.858095,5.868163999868557
7,1,2025-12-04T19:39:15.057160,3.600957800168544
8,3,2025-12-04T19:39:18.964850,3.275443800026551
9,2,2025-12-04T19:39:21.941002,2.3527128999121487
10,2,2025-12-04T19:39:24.901907,2.36293699988164
11,3,2025-12-04T19:39:28.460793,2.9547045999206603
12,3,2025-12-04T19:39:35.343548,6.288098699878901
13,1,2025-12-04T19:39:40.994634,5.022954200161621
14,4,2025-12-04T19:39:51.626587,10.02125810016878
15,4,2025-12-04T19:39:59.928861,7.674869399983436
16,4,2025-12-04T19:40:08.160285,7.606639200123027
17,3,2025-12-04T19:40:11.777262,3.0071086001116782
18,4,2025-12-04T19:40:21.657721,9.255064100027084
19,2,2025-12-04T19:40:25.278547,2.9920787001028657
20,1,2025-12-04T19:40:35.212724,9.310959599912167
