Trial,KeyPressed,TimeStamp,RT
1,1,2025-12-04T18:43:29.643832,10.273658599937335
2,3,2025-12-04T18:43:32.970156,2.6823972000274807
3,1,2025-12-04T18:43:35.999768,2.4294702999759465
4,3,2025-12-04T18:43:39.349638,2.7469385999720544
5,4,2025-12-04T18:43:42.832300,2.863148800097406
6,3,2025-12-04T18:43:45.340312,1.9209751999005675
7,2,2025-12-04T18:43:52.968871,7.015890399925411
8,1,2025-12-04T18:43:56.749778,3.131386399967596
9,1,2025-12-04T18:43:59.708944,2.3235701001249254
10,3,2025-12-04T18:44:05.525906,5.191243400098756
11,2,2025-12-04T18:44:09.118732,3.0004676999524236
12,2,2025-12-04T18:44:11.660051,1.9083082999568433
13,3,2025-12-04T18:44:15.792036,3.5245431000366807
14,2,2025-12-04T18:44:21.211780,4.794181399978697
15,3,2025-12-04T18:44:40.278870,18.461501500103623
16,4,2025-12-04T18:44:42.544346,1.6780193999875337
17,3,2025-12-04T18:44:45.439508,2.2905888999812305
18,2,2025-12-04T18:44:50.516992,4.46787040005438
19,3,2025-12-04T18:44:55.237512,4.120753600029275
20,4,2025-12-04T18:44:59.344290,3.4794725000392646
