Trial,KeyPressed,TimeStamp,RT
1,4,2025-12-04T18:38:27.283445,6.52916739997454
2,1,2025-12-04T18:38:38.864905,10.943735799985006
3,2,2025-12-04T18:38:41.373834,1.886194400023669
4,4,2025-12-04T18:38:45.996218,3.9930151998996735
5,4,2025-12-04T18:38:53.499003,6.8620443001855165
6,2,2025-12-04T18:39:06.209887,12.107150899944827
7,4,2025-12-04T18:39:12.445362,5.593263300135732
8,1,2025-12-04T18:39:18.844590,5.775779099902138
9,4,2025-12-04T18:39:23.972434,4.521413200069219
10,1,2025-12-04T18:39:26.715314,2.1303872999269515
11,4,2025-12-04T18:39:32.750287,5.415650999872014
12,2,2025-12-04T18:39:45.647034,12.280180899892002
13,1,2025-12-04T18:39:48.976911,2.710544800153002
14,4,2025-12-04T18:39:57.012867,7.396951199974865
15,2,2025-12-04T18:40:03.422142,5.789410199970007
16,3,2025-12-04T18:40:07.517915,3.4851396000012755
17,4,2025-12-04T18:40:10.578059,2.4463080000132322
18,4,2025-12-04T18:40:13.542121,2.3273992999456823
19,3,2025-12-04T18:40:16.119444,1.9531864998862147
20,1,2025-12-04T18:40:21.853515,5.1220937999896705
