Trial,KeyPressed,TimeStamp,RT
1,3,2025-12-04T19:41:26.631274,21.497800499899313
2,1,2025-12-04T19:41:31.091058,3.843618900049478
3,2,2025-12-04T19:41:40.656323,8.97502960008569
4,1,2025-12-04T19:41:44.170120,2.923071699915454
5,3,2025-12-04T19:41:47.514064,2.732936300104484
6,1,2025-12-04T19:41:54.704885,6.541347699938342
7,3,2025-12-04T19:42:03.937142,8.640439199982211
8,1,2025-12-04T19:42:10.643162,6.096629200037569
9,4,2025-12-04T19:42:21.500227,10.25407369993627
10,3,2025-12-04T19:42:25.724262,3.6283847999293357
11,1,2025-12-04T19:42:29.061576,2.7335962001234293
12,2,2025-12-04T19:42:33.627018,3.91529139992781
13,2,2025-12-04T19:42:35.918617,1.7075635001529008
14,4,2025-12-04T19:42:41.615146,5.054104500217363
15,1,2025-12-04T19:42:49.204055,6.975822400068864
16,4,2025-12-04T19:42:54.369245,4.559188799932599
17,1,2025-12-04T19:42:59.658679,4.665312999859452
18,4,2025-12-04T19:43:03.817001,3.553503200178966
19,1,2025-12-04T19:43:07.749227,3.3397642001509666
20,3,2025-12-04T19:43:12.726549,4.3842443998437375
