ParticipantID,Condition,Trial,Image,CorrectEmotion,Response,Accuracy,RT
LBF,neutral,1,FACES\168_m_f_d_b.jpg,disgust,disgust,1,10.396120399935171
LBF,neutral,2,FACES\004_o_m_s_a.jpg,sadness,sadness,1,12.414792200084776
LBF,neutral,3,FACES\116_m_m_f_a.jpg,fear,fear,1,4.594642499927431
LBF,neutral,4,FACES\079_o_f_h_a.jpg,happiness,happiness,1,2.55273550003767
LBF,neutral,5,FACES\079_o_f_a_b.jpg,anger,anger,1,3.3247678000479937
LBF,neutral,6,FACES\116_m_m_f_b.jpg,fear,neutrality,0,14.870454899966717
LBF,neutral,7,FACES\066_y_m_d_a.jpg,disgust,anger,0,7.559979500016198
LBF,neutral,8,FACES\168_m_f_h_a.jpg,happiness,happiness,1,2.480570000130683
LBF,neutral,9,FACES\116_m_m_h_a.jpg,happiness,happiness,1,1.7477621999569237
LBF,neutral,10,FACES\066_y_m_a_a.jpg,anger,anger,1,2.2388714998960495
LBF,neutral,11,FACES\168_m_f_s_b.jpg,sadness,sadness,1,1.3293719999492168
LBF,neutral,12,FACES\079_o_f_d_a.jpg,disgust,anger,0,2.2774302000179887
LBF,neutral,13,FACES\140_y_f_d_b.jpg,disgust,sadness,0,9.339869400020689
LBF,neutral,14,FACES\140_y_f_s_b.jpg,sadness,sadness,1,2.43190829991363
LBF,neutral,15,FACES\079_o_f_s_b.jpg,sadness,neutrality,0,9.469901999924332
LBF,neutral,16,FACES\004_o_m_a_a.jpg,anger,neutrality,0,3.8964058000128716
LBF,neutral,17,FACES\116_m_m_d_b.jpg,disgust,anger,0,2.184603799832985
LBF,neutral,18,FACES\079_o_f_n_a.jpg,neutrality,neutrality,1,5.386042800033465
LBF,neutral,19,FACES\116_m_m_n_b.jpg,neutrality,neutrality,1,1.6910065000411123
LBF,neutral,20,FACES\066_y_m_d_b.jpg,disgust,anger,0,3.7345151999033988
