Trial,KeyPressed,TimeStamp,RT
1,2,2025-12-04T20:48:21.729614,10.396120399935171
2,1,2025-12-04T20:48:34.748169,12.414792200084776
3,4,2025-12-04T20:48:39.927936,4.594642499927431
4,4,2025-12-04T20:48:43.067602,2.55273550003767
5,3,2025-12-04T20:48:46.989938,3.3247678000479937
6,3,2025-12-04T20:49:02.451851,14.870454899966717
7,2,2025-12-04T20:49:10.607571,7.559979500016198
8,1,2025-12-04T20:49:13.677625,2.480570000130683
9,2,2025-12-04T20:49:16.044626,1.7477621999569237
10,3,2025-12-04T20:49:18.868673,2.2388714998960495
11,1,2025-12-04T20:49:20.792383,1.3293719999492168
12,1,2025-12-04T20:49:23.657080,2.2774302000179887
13,4,2025-12-04T20:49:33.602816,9.339869400020689
14,3,2025-12-04T20:49:36.627331,2.43190829991363
15,4,2025-12-04T20:49:46.699134,9.469901999924332
16,1,2025-12-04T20:49:51.191396,3.8964058000128716
17,2,2025-12-04T20:49:53.962705,2.184603799832985
18,4,2025-12-04T20:49:59.946874,5.386042800033465
19,4,2025-12-04T20:50:02.235733,1.6910065000411123
20,3,2025-12-04T20:50:06.561663,3.7345151999033988
