Trial,KeyPressed,TimeStamp,RT
1,1,2025-12-04T19:51:46.661682,10.117603200022131
2,1,2025-12-04T19:51:51.438115,4.177778099896386
3,4,2025-12-04T19:52:00.156323,8.113841899903491
4,2,2025-12-04T19:52:04.803849,3.994102699914947
5,4,2025-12-04T19:52:09.762392,4.370238400064409
6,3,2025-12-04T19:52:12.701318,2.3427283000200987
7,4,2025-12-04T19:52:16.097378,2.8055509000550956
8,2,2025-12-04T19:52:18.975635,2.2838268999475986
9,1,2025-12-04T19:52:21.545826,1.9711566001642495
10,1,2025-12-04T19:52:23.701887,1.5602061001118273
11,1,2025-12-04T19:52:27.318445,3.0262523000128567
12,4,2025-12-04T19:52:30.531667,2.6236458998173475
13,1,2025-12-04T19:52:36.047213,4.906272900057957
14,3,2025-12-04T19:52:42.306513,5.665746400132775
15,2,2025-12-04T19:52:44.468118,1.560756399994716
16,4,2025-12-04T19:52:49.016722,3.959760900121182
17,4,2025-12-04T19:52:52.177637,2.5376045000739396
18,3,2025-12-04T19:52:56.232434,3.4423801999073476
19,4,2025-12-04T19:53:21.974533,25.116086400114
20,2,2025-12-04T19:53:30.720345,8.148294199956581
