Trial,KeyPressed,TimeStamp,RT
1,3,2025-11-30T17:21:27.461560,45.49198699998669
2,2,2025-11-30T17:21:35.047659,6.962890200084075
3,1,2025-11-30T17:21:47.648994,12.015357800060883
4,4,2025-11-30T17:22:07.540307,19.27397429989651
5,2,2025-11-30T17:22:13.214153,5.082020700210705
6,2,2025-11-30T17:22:17.468402,3.65399880008772
7,2,2025-11-30T17:22:21.351269,3.270419699838385
8,3,2025-11-30T17:22:30.596521,8.631879099877551
9,2,2025-11-30T17:22:34.247107,2.999146099900827
10,1,2025-11-30T17:22:53.162224,18.31545290001668
11,1,2025-11-30T17:22:57.285167,3.5224450000096112
12,1,2025-11-30T17:23:05.597763,7.702140799956396
13,1,2025-11-30T17:23:15.563286,9.350554200122133
14,3,2025-11-30T17:23:18.577499,2.433106099953875
15,1,2025-11-30T17:23:21.613044,2.435826900182292
16,2,2025-11-30T17:23:24.897573,2.6699957998935133
17,4,2025-11-30T17:23:32.294075,6.816633000038564
18,2,2025-11-30T17:23:40.659791,7.750129299936816
19,4,2025-11-30T17:23:47.343065,6.062335099792108
20,1,2025-11-30T17:23:49.658859,1.6993535999208689
